Modele,prix,Cylindre,Année
HONDA CB 400,1950,400 N,1981
HONDA VFR 800,11530,800 FI VTEC,2019
HONDA CBF 1000 F,7270,1000 F ABS,2013
HONDA GL GOLDWING 1800,12420,1800,2012
HONDA CB 500,7530,500 F ABS,2023
HONDA CBF 1000 F,3840,1000 F ABS,2011
HONDA GL GOLDWING 1500,6250,1500 SE,1995
HONDA DEAUVILLE 650,830,650,2004
HONDA CMX REBEL 500,6430,500,2018
HONDA CRF AFRICA TWIN 1000,12430,1000,2020
HONDA CB HORNET 600,3850,600,2008
HONDA CB 650,8480,650 F,2024
HONDA XL VARADERO 1000,2190,1000,2000
HONDA ST PAN EUROPEAN 1300,5950,1300 ABS PACK,2014
HONDA CBR 125,1740,125,2007
HONDA CB HORNET 600,4740,600 ABS,2008
HONDA CB 125 R,4160,125,2021
HONDA CB X-11 1100,5240,1100,2002
HONDA DEAUVILLE 700,3070,700,2007
HONDA CB HORNET 600,3580,600 ABS,2012
HONDA CB 1000,10470,1000 R,2019
HONDA CB 500,5230,500 X,2021
HONDA CB 1000,7260,1000 R,2013
HONDA CB 500,4850,500 F ABS,2018
HONDA CBR 125,3300,125,2019
HONDA CB 1000,5900,1000 R,2010
HONDA CB SEVEN FIFTY 750,3740,750,1997
HONDA CRF 1000,14810,1000 AFRICA TWIN ABS DCT,2017
HONDA VFR 1200,5480,1200 F,2012
HONDA CROSSTOURER 1200,10980,1200,2019
HONDA CB 1000,6420,1000 R,2010
HONDA CB 1100,4800,1100,2001
